,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
14838,tt0333388,movie,Edifício Master,Edifício Master,0,2002,110,Documentary,8.4,1387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14839,tt0333645,movie,The Deserted Station,Istgah-Matrouk,0,2002,88,Drama,6.6,604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14840,tt0333701,movie,Cheese and Jam,Kajmak i marmelada,0,2003,92,"Comedy,Drama",7.3,1835,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14841,tt0333764,movie,Blue Gate Crossing,Lan se da men,0,2002,85,"Drama,Romance",7.3,3633,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14842,tt0333766,movie,Garden State,Garden State,0,2004,102,"Comedy,Drama,Romance",7.4,212192,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14843,tt0334226,movie,Remake,Remake,0,2003,108,"Drama,History,War",7.5,963,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14844,tt0334237,movie,Spare Parts,Rezervni deli,0,2003,87,Drama,6.8,631,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14845,tt0334405,movie,Spellbound,Spellbound,0,2002,97,"Comedy,Documentary,Thriller",7.6,12145,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14846,tt0334416,movie,Stevie,Stevie,0,2002,140,Documentary,7.8,2606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14847,tt0334482,movie,Thenkasipattanam,Thenkasipattanam,0,2000,150,"Comedy,Romance",7.5,933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14848,tt0334725,movie,Wondrous Oblivion,Wondrous Oblivion,0,2003,106,"Comedy,Drama,Family",7.1,1184,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14849,tt0334754,movie,Yossi & Jagger,Yossi & Jagger,0,2002,65,"Drama,Romance,War",7.1,7084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14850,tt0335013,movie,The Company,The Company,0,2003,112,"Drama,Music,Romance",6.3,6520,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14851,tt0335119,movie,Girl with a Pearl Earring,Girl with a Pearl Earring,0,2003,100,"Biography,Drama,Romance",6.9,76193,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14852,tt0335245,movie,The Ladykillers,The Ladykillers,0,2004,104,"Comedy,Crime,Thriller",6.2,102486,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14853,tt0335266,movie,Lost in Translation,Lost in Translation,0,2003,102,"Comedy,Drama",7.7,435150,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14854,tt0335345,movie,The Passion of the Christ,The Passion of the Christ,0,2004,127,Drama,7.2,223454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14855,tt0335351,movie,La petite Lili,La petite Lili,0,2003,104,"Drama,Romance",6.2,1694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14856,tt0335563,movie,Wonderland,Wonderland,0,2003,104,"Crime,Drama,Mystery",6.6,21948,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14857,tt0336264,movie,Since Otar Left,Depuis qu'Otar est parti...,0,2003,103,Drama,7.6,2582,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14858,tt0336678,movie,Addicted,Jungdok,0,2002,110,"Drama,Mystery,Romance",6.8,1398,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
14859,tt0336910,movie,9 Dead Gay Guys,9 Dead Gay Guys,0,2002,83,"Comedy,Crime",6.3,1496,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14860,tt0337383,movie,Vaikai is Amerikos viesbucio,Vaikai is Amerikos viesbucio,0,1990,88,"Drama,History,Music",8.1,633,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14861,tt0337563,movie,13 Going on 30,13 Going on 30,0,2004,98,"Comedy,Fantasy,Romance",6.2,178748,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14862,tt0337573,movie,Antibodies,Antikörper,0,2005,127,"Crime,Drama,Horror",7.0,8161,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14863,tt0337578,movie,Baghban,Baghban,0,2003,181,"Drama,Romance",7.4,15875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14864,tt0337585,movie,Bomb the System,Bomb the System,0,2002,91,"Action,Drama",6.6,1028,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14865,tt0337631,movie,The Boys & Girl from County Clare,The Boys from County Clare,0,2003,90,"Comedy,Music,Romance",6.5,1448,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14866,tt0337721,movie,The Snow Walker,The Snow Walker,0,2003,103,Drama,7.3,10430,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14867,tt0337741,movie,Something's Gotta Give,Something's Gotta Give,0,2003,128,"Comedy,Drama,Romance",6.7,117099,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14868,tt0337876,movie,Birth,Birth,0,2004,100,"Drama,Fantasy,Mystery",6.2,35842,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14869,tt0337909,movie,Calendar Girls,Calendar Girls,0,2003,108,"Comedy,Drama",6.9,25602,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14870,tt0337921,movie,Cellular,Cellular,0,2004,94,"Action,Crime,Thriller",6.5,98002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14871,tt0337930,movie,Nicotina,Nicotina,0,2003,93,"Action,Comedy,Crime",6.6,3649,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14872,tt0337960,movie,Danny Deckchair,Danny Deckchair,0,2003,100,"Comedy,Romance",6.7,4953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14873,tt0337961,movie,In My Skin,Dans ma peau,0,2002,93,"Drama,Horror",6.3,5211,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14874,tt0337971,movie,Deewangee,Deewangee,0,2002,169,"Crime,Drama,Mystery",6.6,2716,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14875,tt0337978,movie,Live Free or Die Hard,Live Free or Die Hard,0,2007,128,"Action,Thriller",7.1,397678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14876,tt0337996,movie,DysFunktional Family,DysFunktional Family,0,2003,89,"Comedy,Documentary",6.6,872,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14877,tt0338001,movie,Emile,Emile,0,2003,92,Drama,6.4,757,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14878,tt0338013,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,0,2004,108,"Drama,Romance,Sci-Fi",8.3,954006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
14879,tt0338095,movie,High Tension,Haute tension,0,2003,91,Horror,6.8,70298,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14880,tt0338097,movie,Head in the Clouds,Head in the Clouds,0,2004,132,"Drama,Romance,War",6.6,15083,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14881,tt0338133,movie,Dandelion,Dandelion,0,2004,94,"Drama,Romance",6.9,1985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14882,tt0338135,movie,The Barbarian Invasions,Les invasions barbares,0,2003,99,"Comedy,Crime,Drama",7.6,28909,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14883,tt0338188,movie,The Missing,The Missing,0,2003,137,"Adventure,Thriller,Western",6.5,34816,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14884,tt0338249,movie,Merci Docteur Rey,Merci Docteur Rey,0,2002,91,Comedy,6.4,565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14885,tt0338309,movie,Evil,Ondskan,0,2003,113,Drama,7.8,36926,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14886,tt0338337,movie,Paycheck,Paycheck,0,2003,119,"Action,Mystery,Sci-Fi",6.3,106412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
14887,tt0338348,movie,The Polar Express,The Polar Express,0,2004,100,"Adventure,Animation,Comedy",6.6,188842,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14888,tt0338357,movie,Power and Terror: Noam Chomsky in Our Times,Power and Terror: Noam Chomsky in Our Times,0,2002,74,Documentary,6.9,604,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14889,tt0338427,movie,Shopgirl,Shopgirl,0,2005,106,"Drama,Romance",6.3,23728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14890,tt0338490,movie,3 Deewarein,3 Deewarein,0,2003,115,"Crime,Drama",7.8,2412,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14891,tt0338512,movie,Two Brothers,Deux frères,0,2004,109,"Adventure,Drama,Family",7.0,14977,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14892,tt0338564,movie,Infernal Affairs,Mou gaan dou,0,2002,101,"Action,Crime,Drama",8.0,121747,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14893,tt0338706,movie,Alexandra's Project,Alexandra's Project,0,2003,103,"Drama,Mystery,Thriller",6.5,5013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14894,tt0338751,movie,The Aviator,The Aviator,0,2004,170,"Biography,Drama",7.5,347731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14895,tt0338789,movie,"Bless You, Prison","Binecuvântatã fii, închisoare",0,2002,90,Drama,7.4,526,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14896,tt0338949,movie,Edi,Edi,0,2002,97,Drama,7.4,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14897,tt0338977,movie,Games of Love and Chance,L'esquive,0,2003,117,"Comedy,Drama,Romance",6.9,3044,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14898,tt0339071,movie,Girls Will Be Girls,Girls Will Be Girls,0,2003,79,"Comedy,Romance",7.0,1468,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14899,tt0339079,movie,Gone,Gone,0,2002,80,Thriller,7.6,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14900,tt0339134,movie,Hayflower and Quiltshoe,Heinähattu ja Vilttitossu,0,2002,75,Family,6.4,589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14901,tt0339135,movie,In Hell,In Hell,0,2003,98,"Action,Drama,Thriller",6.2,19548,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14902,tt0339149,movie,Falling Sky,Himmelfall,0,2002,83,"Comedy,Drama,Family",6.7,979,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14903,tt0339230,movie,Kopps,Kopps,0,2003,90,"Action,Comedy",6.7,20729,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14904,tt0339252,movie,Khadgam,Khadgam,0,2002,142,"Action,Crime,Drama",7.7,1078,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14905,tt0339291,movie,A Series of Unfortunate Events,A Series of Unfortunate Events,0,2004,108,"Adventure,Comedy,Family",6.8,202710,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14906,tt0339357,movie,The Story of Marie and Julien,Histoire de Marie et Julien,0,2003,150,"Drama,Fantasy,Mystery",7.0,1781,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
